date,day_of_the_week,training_status,last_night_HRV,last_night_sleep_score,last_night_RHR,total_week_km,run_today_boolean,run_today_distance_km,run_today_duration_min,run_today_training_load,run_today_aerobic_effect,run_today_anaerobic_effect,run_today_start_time,last_four_weeks_average_km,last_four_weeks_average_sleep_score,last_four_weeks_average_HRV,last_four_weeks_average_RHR,days_since_last_run,days_since_last_gym,days_since_last_quality_session,last_run_aerobic_effect,last_run_anaerobic_effect,location,location_coordinates,trip_in_the_last_two_weeks,hourly_apparent_temperature,hourly_rain_mm,hourly_showers_mm,hourly_snowfall_mm,hourly_snow_depth_cm,hourly_wind_speed_10m_kmh,hourly_weather_code,daily_weather_code,daily_sunrise,daily_sunset,daily_daylight_duration,daily_temperature_2m_max,daily_temperature_2m_min,daily_temperature_2m_mean,daily_apparent_temperature_mean,daily_rain_sum,daily_showers_sum,daily_snowfall_sum,daily_precipitation_hours,class_hours,work_hours,before_10am,after_5pm,upcoming_deadline_next_three_days,gym_available
2026-02-04,Wednesday,PRODUCTIVE_9,54,89,51.0,13.9,True,112.6,716,1742,3.4,2.2,06:52:32,22.2,82,51,52,1,11,3,2.0,0.0,North Macedonia,"(42.01266263611615, 21.416349755600095)",False,-18,0.0,0.0,0.0,0.2,15.5,0.0,3.0,08:08:39,17:07:15,8.0,-9,-15,-13,-18,0.0,0.0,0.0,0,1.5,0,True,False,False,True
2026-03-01,Sunday,PRODUCTIVE_5,56,94,49.0,27.7,True,19.64,125,167,3.0,1.2,12:13:39,27.9,85,53,50,3,9,3,4.0,4.0,Ireland,"(53.359286366030574, -6.235812669619918)",True,4,0.0,0.0,0.0,0.2,10.1,3.0,3.0,07:13:37,17:59:13,10.0,8,2,4,0,0.0,0.0,0.0,0,1.5,0,True,False,False,True
2026-03-02,Monday,PRODUCTIVE_3,55,89,51.0,7.4,True,7.44,47,100,3.0,2.0,12:13:39,27.8,80,55,50,1,10,4,2.9,0.0,Lithuania,"(54.902322236448526, 23.960021752864122)",True,0,0.0,0.0,0.0,0.2,17.3,3.0,3.0,07:11:14,18:01:14,10.0,5,0,2,-1,0.0,0.0,0.0,0,1.5,0,True,False,False,True
